socname,soc.id,latitude,longitude,biome,subsistence,allomaternal,fathercare,fixity,storage,polygny,inheritance,pathogen,endstarve,shortstarve,seasonstarve,temp.mean,temp.var,temp.pred,precip.mean,precip.var,precip.pred
Uttar_Pradesh,SCCS63,25.92,83,Tropical & Subtropical Moist Broadleaf Forests,Intensive agriculture,3,4,5,2,2,7,15,4,2,3,26.0068343,50.37229997,0.632567,83071.755,9639772522,0.4469101
Burusho,SCCS64,36.43,74.58,Ice,Intensive agriculture,2,3,5,1,2,,11,,2,5,-10.2237102,135.0992607,0.5757114,76644.636,2968959468,0.6006207
Khalka_Mongols,SCCS66,47.17,96.08,Deserts & Xeric Shrublands,Pastoralism,3,3,2,2,1,7,7,2,2,5,-3.5900684,243.6511698,0.5529297,33814.207,537695285,0.6666599
Lepcha,SCCS68,27.5,89,Montane Grasslands & Shrublands,Intensive agriculture,3,4,5,2,2,7,12,1,2,5,8.3030995,39.42342866,0.6963848,253037.729,96491128664,0.5342849
Garo,SCCS69,26,91,Tropical & Subtropical Moist Broadleaf Forests,Extensive agriculture,3,4,5,3,4,2,17,,2,2,22.9314399,26.6076007,0.6768337,116149.27,15283382412,0.5036312
Lakher,SCCS70,22.33,93,Tropical & Subtropical Moist Broadleaf Forests,Extensive agriculture,2,3,5,2,2,7,16,,2,4,22.0863553,18.32906196,0.7215597,110430.32,13169633272,0.5859443
Burmese,SCCS71,22,95.67,Tropical & Subtropical Moist Broadleaf Forests,Intensive agriculture,4,3,5,1,1,5,16,1,1,1,23.2495074,16.7040508,0.6936687,101497.279,13002196174,0.5346754
Vietnamese,SCCS73,20.5,106.25,Tropical & Subtropical Moist Broadleaf Forests,Intensive agriculture,3,4,5,2,3,5,14,3,2,5,20.920884,31.54052685,0.6946323,113964.149,10912991575,0.6203752
Rhade,SCCS74,13,108,Tropical & Subtropical Dry Broadleaf Forests,Extensive agriculture,3,3,4,2,2,,14,2,2,4,22.6208591,3.60924767,0.7578528,165967.101,14764314666,0.7228929
Khmer,SCCS75,13,103.83,Tropical & Subtropical Moist Broadleaf Forests,Intensive agriculture,2,4,5,2,4,,14,,,,24.0671012,5.45412918,0.7493492,164642.861,18111569925,0.6873454
Siamese,SCCS76,14,100.85,Tropical & Subtropical Moist Broadleaf Forests,Intensive agriculture,4,3,5,1,2,5,14,1,1,1,24.0637294,8.55065351,0.7105091,149789.934,20087073747,0.6684142
Semang,SCCS77,5,101.25,Tropical & Subtropical Moist Broadleaf Forests,Gathering,3,4,1,1,2,5,14,3,3,4,25.2207326,0.61969356,0.8308618,241032.264,23289771427,0.6826399
Nicobarese,SCCS78,7,93.75,Tropical & Subtropical Moist Broadleaf Forests,Extensive agriculture,2,4,5,1,2,5,8,1,1,1,26.9916072,0.83063416,0.8165915,172234.78,18646177090,0.6038347
Andamanese,SCCS79,12,93,Tropical & Subtropical Moist Broadleaf Forests,Two or more sources,3,4,2,2,1,,13,1,1,1,26.210325,2.3780315,0.8057586,159977.039,31205924957,0.589805
Vedda,SCCS80,7.75,81.25,Tropical & Subtropical Dry Broadleaf Forests,Gathering,2,4,2,1,1,7,13,,,,26.4247277,0.9474826,0.8233631,184632.91,20512809565,0.632752
Tanala,SCCS81,-22,48,Tropical & Subtropical Moist Broadleaf Forests,Intensive agriculture,2,3,3,2,5,5,17,2,,,21.0837045,5.84148337,0.7820519,117686.558,10140991395,0.6402876
Negri_Sembilan,SCCS82,2.58,102.25,Tropical & Subtropical Moist Broadleaf Forests,Intensive agriculture,2,3,5,2,4,3,12,,1,1,24.6154599,0.21490263,0.8368225,251551.505,15764910441,0.7280917
Javanese,SCCS83,-7.7,112.22,Tropical & Subtropical Moist Broadleaf Forests,Intensive agriculture,2,3,5,3,3,5,14,,,,25.556965,0.43491497,0.8140938,188300.976,15377980634,0.6544889
Balinese,SCCS84,-8.5,115.33,Tropical & Subtropical Moist Broadleaf Forests,Intensive agriculture,3,4,5,2,4,7,12,2,2,3,26.482285,0.55478247,0.8358914,177016.724,15887286508,0.6257006
Badjau,SCCS86,5,120,Tropical & Subtropical Moist Broadleaf Forests,Fishing,2,4,1,2,1,,11,,2,3,26.8997985,0.21954646,0.8426284,210298.768,9218356714,0.6997919
Toradja,SCCS87,-2,121,Tropical & Subtropical Moist Broadleaf Forests,Extensive agriculture,2,2,5,2,3,5,16,3,2,3,22.7431439,0.15200987,0.8425344,245748.539,14773302749,0.6696798
Tobelorese,SCCS88,2,127.94,Tropical & Subtropical Moist Broadleaf Forests,Extensive agriculture,2,3,5,2,1,4,13,,,,27.2529994,0.07599246,0.8522084,199822.187,7304426635,0.6706316
Alorese,SCCS89,-8.33,124.67,Tropical & Subtropical Dry Broadleaf Forests,Extensive agriculture,5,4,5,3,4,,15,3,2,4,26.6310136,0.49654541,0.8344563,168015.154,23833377925,0.6041453
Tiwi,SCCS90,-11.38,131,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Gathering,2,4,1,1,5,,12,1,1,1,26.9476835,1.69145188,0.8090618,148308.813,27168025880,0.6047422
Aranda,SCCS91,-24.25,133.5,Deserts & Xeric Shrublands,Gathering,2,3,1,1,5,7,9,1,3,3,20.7521167,36.607207,0.591495,61707.63,3710057302,0.4523781
Orokaiva,SCCS92,-8.5,148,Tropical & Subtropical Moist Broadleaf Forests,Extensive agriculture,3,4,5,1,4,,14,,2,4,22.7300257,0.90534243,0.8280015,201767.227,11885522336,0.7318587
Kapauku,SCCS94,-4,136,Tropical & Subtropical Moist Broadleaf Forests,Extensive agriculture,2,2,5,3,5,,11,2,2,1,23.9744337,0.36026778,0.8491957,330068.136,29213650732,0.6535506
Kwoma,SCCS95,-4.17,142.67,Tropical & Subtropical Moist Broadleaf Forests,Extensive agriculture,1,3,5,3,5,7,11,3,2,3,20.5163251,0.22724034,0.8395235,375291.934,23857301913,0.7583075
Manus,SCCS96,-2.17,147.17,Tropical & Subtropical Moist Broadleaf Forests,Fishing,3,3,5,1,2,1,13,2,2,3,27.7104086,0.16042182,0.8422327,219223.792,10765114054,0.6251058
New_Ireland,SCCS97,-2.71,151,Tropical & Subtropical Moist Broadleaf Forests,Two or more sources,4,4,5,1,4,2,14,2,2,1,27.6167916,0.19086066,0.8390507,211328.2,10332446044,0.6170579
Trobrianders,SCCS98,-8.54,151.01,Tropical & Subtropical Moist Broadleaf Forests,Extensive agriculture,4,5,5,3,3,2,11,1,2,3,26.7324015,0.81005551,0.8481109,206628.763,12473689601,0.6723012
Siuai,SCCS99,-6.76,155.45,Tropical & Subtropical Moist Broadleaf Forests,Extensive agriculture,3,4,5,3,3,5,15,2,2,1,27.2690119,0.2837929,0.8591397,289372.465,16864903667,0.7216719
Tikopia,SCCS100,-12.29,168.83,Tropical & Subtropical Moist Broadleaf Forests,Two or more sources,3,4,5,2,4,,9,,2,4,27.235349,0.64273127,0.8448517,239613.603,15697970977,0.6778571
Pentecost,SCCS101,-15.95,168.22,Tropical & Subtropical Moist Broadleaf Forests,Extensive agriculture,2,3,5,3,4,6,15,,2,3,26.1113374,2.01137901,0.8277053,173785.626,13387756112,0.6327942
Mbau_Fijians,SCCS102,-18,178.58,Tropical & Subtropical Moist Broadleaf Forests,Fishing,2,2,5,3,3,7,12,3,1,1,25.2401811,2.82113465,0.8055978,157112.266,10103352827,0.619672
Maori,SCCS104,-35.33,174.17,Temperate Broadleaf & Mixed Forests,Extensive agriculture,3,5,5,2,3,7,7,1,1,1,17.0360815,9.37874371,0.777041,96335.553,2880919131,0.6211737
Marquesans,SCCS105,-8.92,-140.17,Tropical & Subtropical Moist Broadleaf Forests,Extensive agriculture,3,4,5,3,2,4,11,,2,3,26.8132039,0.29773087,0.7878674,154798.143,22176393604,0.6385034
Western_Samoans,SCCS106,-13.94,-171.77,Tropical & Subtropical Moist Broadleaf Forests,Extensive agriculture,3,3,5,2,3,,12,1,2,1,26.9885041,0.62352804,0.8449784,219723.263,12213542079,0.6778291
Marshallese,SCCS108,6.28,169.49,Tropical & Subtropical Moist Broadleaf Forests,Fishing,3,3,5,2,4,1,11,,2,3,27.540148,0.08296764,0.8561032,302548.229,17777078999,0.6959807
Trukese,SCCS109,7.34,151.6,Tropical & Subtropical Moist Broadleaf Forests,Two or more sources,3,4,5,2,2,7,14,1,2,1,27.5982975,0.08623288,0.8542491,281260.562,18619153518,0.697769
Yapese,SCCS110,9.52,138.16,Tropical & Subtropical Dry Broadleaf Forests,Extensive agriculture,2,4,5,1,3,3,11,2,2,3,27.5468059,0.15106073,0.8431438,240615.972,11339982121,0.6851114
Palauans,SCCS111,7.5,134.5,Tropical & Subtropical Moist Broadleaf Forests,Extensive agriculture,3,4,5,3,4,7,12,1,2,1,27.6587122,0.0848751,0.860106,268661.446,14321391631,0.6964213
Ifugao,SCCS112,16.83,121.17,Tropical & Subtropical Moist Broadleaf Forests,Intensive agriculture,3,3,5,2,2,5,13,,2,4,25.1604549,3.01713228,0.7757586,167495.608,21137694128,0.6374297
Chinese,SCCS114,31,120.08,Temperate Broadleaf & Mixed Forests,Intensive agriculture,2,3,5,2,1,7,14,2,2,3,14.8942974,95.6285943,0.6481735,124585.931,8847579178,0.5906324
Manchu,SCCS115,50,125.5,Temperate Broadleaf & Mixed Forests,Intensive agriculture,2,3,5,2,1,7,8,,2,4,-0.5557774,262.9025704,0.5682574,53252.189,3547577607,0.6171937
Koreans,SCCS116,37.6,126.42,Temperate Broadleaf & Mixed Forests,Intensive agriculture,2,3,5,1,1,7,12,2,2,5,10.6437931,100.1607204,0.6760339,79581.195,6186705294,0.5710903
